Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","828","Cigarettes","2020","2020","t","22748","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","828","Cigarettes","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","828","Cigarettes","2020","2020","t","22748","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","828","Cigarettes","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","828","Cigarettes","2021","2021","t","13398","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","828","Cigarettes","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","828","Cigarettes","2021","2021","t","1","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","828","Cigarettes","2021","2021","t","13397","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","828","Cigarettes","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","828","Cigarettes","2022","2022","t","15210","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5071","Stock Variation","828","Cigarettes","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","828","Cigarettes","2022","2022","t","15210","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","828","Cigarettes","2022","2022","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","829","Cigars and cheroots","2020","2020","t","20","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","829","Cigars and cheroots","2020","2020","t","20","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","829","Cigars and cheroots","2020","2020","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","829","Cigars and cheroots","2021","2021","t","12","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5165","Other uses (non-food)","829","Cigars and cheroots","2021","2021","t","12","E","Estimated value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5166","Residuals","829","Cigars and cheroots","2021","2021","t","0","I","Imputed value",""
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5610","Import quantity","829","Cigars and cheroots","2022","2022","t","6","X","Figure from international organizations","Estimated data using trading partners database"
"CB","Commodity Balances (non-food) (2010-)","2","Afghanistan","5910","Export quantity","829","Cigars and cheroots","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
