Item Code,Item,Description,CPC Code,HS Code,HS07 Code,HS12 Code
2666,Abaca,Default composition: 809 Manila fibre (abaca),B2666,,,
2659,"Alcohol, Non-Food",Default composition: 632 Alcohol non food,,,,
2924,Alcoholic Beverages,,,,,
2600,Brans,"Default composition: 17 Bran, wheat, 35 Bran, rice, 47 Bran, barley, 59 Bran, maize, 73 Bran, rye, 77 Bran, oats, 81 Bran, millet, 85 Bran, sorghum, 91 Bran, buckwheat, 96 Bran, fonio, 99 Bran, triticale, 105 Bran, mixed grains, 112 Bran, cereals nes, 213 Bran, pulses",B2600,,,
2596,Copra Cake,"Default composition: 253 Cake, copra",B2596,,,
2661,Cotton lint,Default composition: 767 Cotton lint,B2661,,,
2559,Cottonseed,Default composition: 329 Cottonseed,,,,
2594,Cottonseed Cake,"Default composition: 332 Cake, cottonseed",B2594,,,
2591,Groundnut Cake,"Default composition: 245 Cake, groundnuts",B2591,,,
2667,"Hard Fibres, Other","Default composition: 800 Agave fibres nes, 813 Coir, 821 Fibre crops nes",B2667,,,
2662,Jute,Default composition: 780 Jute,B2662,,,
2663,Jute-Like Fibres,"Default composition: 782 Bastfibres, other",B2663,,,
2913,Oilcrops,,,,,
2598,"Oilseed Cakes, Other","Default composition: 37 Cake, rice bran, 61 Cake, maize, 282 Cake, safflower, 298 Cake, poppy seed, 314 Cake, kapok, 335 Cake, linseed, 338 Cake, hempseed, 341 Cake, oilseeds nes",B2598,,,
2562,Palm kernels,"Default composition: 254 Oil, palm fruit, 256 Palm kernels",,,,
2595,Palmkernel Cake,"Default composition: 259 Cake, palm kernel",B2595,,,
2593,Rape and Mustard Cake,"Default composition: 272 Cake, rapeseed, 294 Cake, mustard",B2593,,,
2558,Rape and Mustardseed,"Default composition: 270 Rapeseed, 292 Mustard seed, 295 Flour, mustard",,,,
2672,Rubber,"Default composition: 836 Rubber, natural, 837 Rubber natural dry",B2672,,,
2597,Sesameseed Cake,"Default composition: 291 Cake, sesame seed",B2597,,,
2747,Silk,"Default composition: 1185 Silk-worm cocoons, reelable, 1186 Silk raw, 1187 Cocoons, unreelable & waste",B2747,,,
2665,Sisal,Default composition: 789 Sisal,B2665,,,
2664,"Soft-Fibres, Other","Default composition: 771 Flax fibre raw, 773 Flax fibre and tow, 774 Flax tow waste, 777 Hemp tow waste, 778 Kapok fibre, 788 Ramie",B2664,,,
2590,Soyabean Cake,"Default composition: 238 Cake, soybeans",B2590,,,
2592,Sunflowerseed Cake,"Default composition: 269 Cake, sunflower",B2592,,,
2671,Tobacco,"Default composition: 826 Tobacco, unmanufactured, 828 Cigarettes, 829 Cigars, cheroots, 831 Tobacco products nes",B2671,,,
2927,Tobacco & Rubber,,B2927,,,
2746,Wool (Clean Eq.),"Default composition: 987 Wool, greasy, 988 Wool, degreased",B2746,,,
